Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.2.2\experiments\Hara\20210513_Setdb2KO_Lung_Hara.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-05-13 14:31:33 PM GMT+09:00,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,C„„,C„„ Mean,C„„ SD,ƒ¢C„„,ƒ¢C„„ Mean,ƒ¢C„„ SE,HK Control ƒ¢C„„ Mean,HK Control ƒ¢C„„ SE,ƒ¢ƒ¢C„„,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Comments
D5,Sample 5,ifnb1,UNKNOWN,FAM,NFQ-MGB,0.187449485,,,32.72037506,32.72037506,,,15.07873917,,,,2.415426254,FALSE,0.1,TRUE,3,29,1,
D6,Sample 6,ifnb1,UNKNOWN,FAM,NFQ-MGB,0.038668495,,,35.04369354,35.04369354,,,17.35601044,,,,4.692697525,FALSE,0.1,TRUE,3,31,1,
D7,Sample 1,nos2,UNKNOWN,FAM,NFQ-MGB,1,,,26.52725983,26.52725983,,,8.657865524,,,,0,FALSE,0.1,TRUE,3,22,1,
D8,Sample 2,nos2,UNKNOWN,FAM,NFQ-MGB,1.025548697,,,26.85755157,26.85755157,,,8.621469498,,,,-0.036396027,FALSE,0.1,TRUE,3,23,1,
D9,Sample 3,nos2,UNKNOWN,FAM,NFQ-MGB,0.939701557,,,26.60664368,26.60664368,,,8.747591019,,,,0.089725494,FALSE,0.1,TRUE,3,22,1,
D10,Sample 4,nos2,UNKNOWN,FAM,NFQ-MGB,0.822804868,,,26.60374451,26.60374451,,,8.939243317,,,,0.281377792,FALSE,0.1,TRUE,3,22,1,
D11,Sample 5,nos2,UNKNOWN,FAM,NFQ-MGB,0.88302964,,,26.47896767,26.47896767,,,8.837331772,,,,0.179466248,FALSE,0.1,TRUE,3,22,1,
D12,Sample 6,nos2,UNKNOWN,FAM,NFQ-MGB,1.39178133,,,25.8686161,25.8686161,,,8.180932999,,,,-0.476932526,FALSE,0.1,TRUE,3,22,1,
E1,Sample 1,mx1,UNKNOWN,FAM,NFQ-MGB,1,,,27.41145897,27.41145897,,,9.542064667,,,,0,FALSE,0.1,TRUE,3,23,1,
E2,Sample 2,mx1,UNKNOWN,FAM,NFQ-MGB,1.664774537,,,27.04281998,27.04281998,,,8.8067379,,,,-0.735326767,FALSE,0.1,TRUE,3,23,1,
E3,Sample 3,mx1,UNKNOWN,FAM,NFQ-MGB,0.912482262,,,27.5332489,27.5332489,,,9.674196243,,,,0.132131577,FALSE,0.1,TRUE,3,24,1,
E4,Sample 4,mx1,UNKNOWN,FAM,NFQ-MGB,1.200792313,,,26.94257927,26.94257927,,,9.278078079,,,,-0.263986588,FALSE,0.1,TRUE,3,23,1,
E5,Sample 5,mx1,UNKNOWN,FAM,NFQ-MGB,0.999826849,,,27.18395042,27.18395042,,,9.542314529,,,,0.000249863,FALSE,0.1,TRUE,3,23,1,
E6,Sample 6,mx1,UNKNOWN,FAM,NFQ-MGB,3.182411194,,,25.55962753,25.55962753,,,7.871944427,,,,-1.670120239,FALSE,0.1,TRUE,3,21,1,
E7,Sample 1,isg15,UNKNOWN,FAM,NFQ-MGB,1,,,26.24508476,26.24508476,,,8.37569046,,,,0,FALSE,0.1,TRUE,3,22,1,
E8,Sample 2,isg15,UNKNOWN,FAM,NFQ-MGB,1.289583564,,,26.24486732,26.24486732,,,8.008785248,,,,-0.366905212,FALSE,0.1,TRUE,3,22,1,
E9,Sample 3,isg15,UNKNOWN,FAM,NFQ-MGB,0.884003818,,,26.41261864,26.41261864,,,8.553565979,,,,0.177875519,FALSE,0.1,TRUE,3,22,1,
E10,Sample 4,isg15,UNKNOWN,FAM,NFQ-MGB,1.151644349,,,25.83649635,25.83649635,,,8.171995163,,,,-0.203695297,FALSE,0.1,TRUE,3,21,1,
E11,Sample 5,isg15,UNKNOWN,FAM,NFQ-MGB,0.946451783,,,26.09672546,26.09672546,,,8.455089569,,,,0.079399109,FALSE,0.1,TRUE,3,22,1,
E12,Sample 6,isg15,UNKNOWN,FAM,NFQ-MGB,2.018314838,,,25.0502224,25.0502224,,,7.362539291,,,,-1.013151169,FALSE,0.1,TRUE,3,21,1,
F1,Sample 1,cxcl1,UNKNOWN,FAM,NFQ-MGB,1,,,28.63978767,28.63978767,,,10.77039337,,,,0,FALSE,0.1,TRUE,3,25,1,
F2,Sample 2,cxcl1,UNKNOWN,FAM,NFQ-MGB,2.653916597,,,27.59835243,27.59835243,,,9.362270355,,,,-1.408123016,FALSE,0.1,TRUE,3,24,1,
F3,Sample 3,cxcl1,UNKNOWN,FAM,NFQ-MGB,0.664818168,,,29.21841431,29.21841431,,,11.35936165,,,,0.588968277,FALSE,0.1,TRUE,3,25,1,
F4,Sample 4,cxcl1,UNKNOWN,FAM,NFQ-MGB,1.190454483,,,28.18338203,28.18338203,,,10.51888084,,,,-0.251512527,FALSE,0.1,TRUE,3,24,1,
F5,Sample 5,cxcl1,UNKNOWN,FAM,NFQ-MGB,0.79656899,,,28.74015808,28.74015808,,,11.09852219,,,,0.328128815,FALSE,0.1,TRUE,3,25,1,
F6,Sample 6,cxcl1,UNKNOWN,FAM,NFQ-MGB,5.769141197,,,25.92971992,25.92971992,,,8.242036819,,,,-2.528356552,FALSE,0.1,TRUE,3,22,1,
F7,Sample 1,ccl2,UNKNOWN,FAM,NFQ-MGB,1,,,29.48126221,29.48126221,,,11.6118679,,,,0,FALSE,0.1,TRUE,3,25,1,
F8,Sample 2,ccl2,UNKNOWN,FAM,NFQ-MGB,2.562980413,,,28.49012756,28.49012756,,,10.25404549,,,,-1.357822418,FALSE,0.1,TRUE,3,24,1,
F9,Sample 3,ccl2,UNKNOWN,FAM,NFQ-MGB,0.759194255,,,29.86837959,29.86837959,,,12.00932693,,,,0.39745903,FALSE,0.1,TRUE,3,26,1,
F10,Sample 4,ccl2,UNKNOWN,FAM,NFQ-MGB,1.03466785,,,29.22720146,29.22720146,,,11.56270027,,,,-0.049167633,FALSE,0.1,TRUE,3,25,1,
F11,Sample 5,ccl2,UNKNOWN,FAM,NFQ-MGB,1.021073341,,,29.22341728,29.22341728,,,11.58178139,,,,-0.030086517,FALSE,0.1,TRUE,3,25,1,
F12,Sample 6,ccl2,UNKNOWN,FAM,NFQ-MGB,11.02435017,,,25.83692932,25.83692932,,,8.149246216,,,,-3.462621689,FALSE,0.1,TRUE,3,21,1,
G1,Sample 1,tmprss2,UNKNOWN,FAM,NFQ-MGB,1,,,21.73321152,21.73321152,,,3.863817215,,,,0,FALSE,0.1,TRUE,3,18,1,
G2,Sample 2,tmprss2,UNKNOWN,FAM,NFQ-MGB,1.1612643,,,21.88420296,21.88420296,,,3.64812088,,,,-0.215696335,FALSE,0.1,TRUE,3,18,1,
G3,Sample 3,tmprss2,UNKNOWN,FAM,NFQ-MGB,0.805476189,,,22.03495598,22.03495598,,,4.17590332,,,,0.312086105,FALSE,0.1,TRUE,3,18,1,
G4,Sample 4,tmprss2,UNKNOWN,FAM,NFQ-MGB,1.058980465,,,21.44564247,21.44564247,,,3.781141281,,,,-0.082675934,FALSE,0.1,TRUE,3,17,1,
G5,Sample 5,tmprss2,UNKNOWN,FAM,NFQ-MGB,1.116513252,,,21.34645271,21.34645271,,,3.704816818,,,,-0.159000397,FALSE,0.1,TRUE,3,17,1,
G6,Sample 6,tmprss2,UNKNOWN,FAM,NFQ-MGB,0.433628887,,,22.75696754,22.75696754,,,5.069284439,,,,1.205467224,FALSE,0.1,TRUE,3,19,1,
G7,Sample 1,ace2,UNKNOWN,FAM,NFQ-MGB,1,,,27.12883377,27.12883377,,,9.259439468,,,,0,FALSE,0.1,TRUE,3,23,1,
G8,Sample 2,ace2,UNKNOWN,FAM,NFQ-MGB,1.554295659,,,26.85926056,26.85926056,,,8.623178482,,,,-0.636260986,FALSE,0.1,TRUE,3,23,1,
G9,Sample 3,ace2,UNKNOWN,FAM,NFQ-MGB,1.01991713,,,27.09004021,27.09004021,,,9.230987549,,,,-0.02845192,FALSE,0.1,TRUE,3,23,1,
G10,Sample 4,ace2,UNKNOWN,FAM,NFQ-MGB,1.044284821,,,26.8614254,26.8614254,,,9.19692421,,,,-0.062515259,FALSE,0.1,TRUE,3,23,1,
G11,Sample 5,ace2,UNKNOWN,FAM,NFQ-MGB,0.889510334,,,27.06999207,27.06999207,,,9.428356171,,,,0.168916702,FALSE,0.1,TRUE,3,23,1,
G12,Sample 6,ace2,UNKNOWN,FAM,NFQ-MGB,0.484009683,,,27.99401474,27.99401474,,,10.30633163,,,,1.046892166,FALSE,0.1,TRUE,3,24,1,
H1,Sample 1,angptl4,UNKNOWN,FAM,NFQ-MGB,1,,,24.5950985,24.5950985,,,6.725704193,,,,0,FALSE,0.1,TRUE,3,20,1,
H2,Sample 2,angptl4,UNKNOWN,FAM,NFQ-MGB,1.223855615,,,24.67035294,24.67035294,,,6.434270859,,,,-0.291433334,FALSE,0.1,TRUE,3,20,1,
H3,Sample 3,angptl4,UNKNOWN,FAM,NFQ-MGB,0.63529098,,,25.23926735,25.23926735,,,7.380214691,,,,0.654510498,FALSE,0.1,TRUE,3,21,1,
H4,Sample 4,angptl4,UNKNOWN,FAM,NFQ-MGB,0.710483074,,,24.88333321,24.88333321,,,7.218832016,,,,0.493127823,FALSE,0.1,TRUE,3,21,1,
H5,Sample 5,angptl4,UNKNOWN,FAM,NFQ-MGB,0.730899394,,,24.81959534,24.81959534,,,7.177959442,,,,0.452255249,FALSE,0.1,TRUE,3,21,1,
H6,Sample 6,angptl4,UNKNOWN,FAM,NFQ-MGB,0.468913108,,,25.5059948,25.5059948,,,7.818311691,,,,1.092607498,FALSE,0.1,TRUE,3,21,1,
,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,Singleplex,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,gapdh,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,95.0,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,Sample 1,,,,,,,,,,,,,,,,,,,,,,,
